is_relevant,news
TRUE,"Three soldiers were injured when militants attacked an army convoy in Handwara area in Kupwara District on September 7, reports Daily Excelsior. The army convoy was attacked by militants at Kralgund along Kupwara Baramulla highway in Handwara area when it was on its way to Srinagar. Three soldiers, two identified as Havaldar Jagtap Singh and Sepoy Shafiq Malik, have been injured. The condition of one of the three soldiers is stated to be critical. Militant outfit Hizb ul Mujahideen (HM) meanwhile claimed responsibility for the attack. However, sources said that it is a group army had already inputs that a group of five militants present in the area were planning attack on convoy in the area. They said that these militants are believed to be belonging to unknown Afghan brigade that is linked to Jaish e Mohammad (JeM) and is headed by Abdullah Salfi."
TRUE,"A Communist Party of India Maoist (CPI Maoist) cadre was on July 2 killed during an encounter with the Police in Simdega District, reports PTI. Superintendent of Police (SP) Rajiv Ranjan said following a tip off, a search operation was launched during which three motorcycle borne men fired on the Policemen near Mudia jungle under Sadar Police Station. In the retaliatory action, one of them, Turia Oraon, was killed on the spot, the SP said, adding the two others managed to flee into the deep jungle. Oraon, who was a former area commander of the CPI Maoist, faced four cases in the District."
TRUE,"Communist Party of India Maoist (CPI Maoist) cadres, dressed in Police uniform, attacked the house of a Chairman of Primary Agriculture Credit Society, killing two persons and injuring another at Mankauli village in Kudhni of Muzaffarpur District on June 24, reports The Economic Times. Prabhat Rai (25) and Laxmi Rai (60) died on the spot while Rajkumar Rai suffered bullet injuries. Nearly two dozen Maoists fired randomly on the family members of Rai. Maoists left behind leaflets containing slogans and condemned Rai against exploiting the poor people."
TRUE,"One Station House Officer (SHO), identified as Shabir Ahmad, was killed and three others including two Policemen were injured in militants attack at Chadoora chowk market of Budgam District on December 2, reports Daily Excelsior. Inspector General of Police (IGP), A G Mir, said that it was a busy market place and Police did not retaliate to avoid the collateral damage. He said that the attack was carried out by Lashkar e Toiba (LeT) and Police have got certain leads on which they are working. A militant outfit Al Nasereen has claimed the responsibility of the attack. The spokesman of the outfit, Sami ul Haq, in a statement told a local news agency said that militants of the outfit carried out the attack in which SHO was killed."
TRUE,"Khaplang faction of National Socialist Council of Nagaland (NSCN K) has claimed the responsibility for destroying road construction machineries, on November 2, belonging to a contracting company in Zeliangrong region, reports Kanglaonline on November 8. It stated that the machinery was destroyed for failure to comply with the central directive. SS Khaplang, the president of NSCN K in a notification has directed every regional authority to co operate with the central authority functioning in ones respective regional areas."
TRUE,"one person, identified as Noor Khan, was killed and two others sustained injuries when unidentified assailants opened indiscriminate fire on a shop located in Irrigation Colony area of Sariab Road. The injured were identified as Kamisa Khan and Darshan Kumar. The assailants managed to escape."
TRUE,"SOG Srinagar and Army cordoned off Wanihama village in Ganderbal District on March 9, after a tip off about the presence of two militants of Hizbul Mujahideen (HM) in Wanihama and cordoned off the area, reports Daily Excelsior. As the searches were underway, militants opened firing on Police leading to a brief encounter. However, militants managed to escape from the spot leaving behind one AK 47 rifle and few rounds."
TRUE,Driver of a bus was assassinated by unidentified militants in Ashtar District of Daikundi Province reports Bakhtar News on June 20
TRUE,"a hand grenade hurled by some unidentified persons exploded at the residence of Lamlai Assembly Constituency member of legislative Assembly (MLA) Ksh Biren at Kabo Leikai near 2nd Manipur Rifles complex at about 6.50 pm on October 14, reports The Sangai Express. However, there was no report of any human casualty. It is suspected that the grenade attack was related with monetary demand."
TRUE,"Three persons were injured in an explosion at Hajin area of North Kashmirs Bandipora District on February 7, reports Daily Excelsior. The explosive was lying under the debris of the house that was razed to rubble by Security Forces (SFs) three days ago. Police said the three persons sustained injuries when the grenade lying in debris of a house went off. On February 4, three Pakistani militants were killed in a gunfight at Hajin with SFs."
TRUE,"Garo National Liberation Army (GNLA) militants, led by its commander in chief Sohan D Shira made an unsuccessful attempt to ambush Meghalaya Police Operation Camp at Bawegre in East Garo Hills District on April 27, reports The Shillong Times. Police said that Special Operation Team was camping at Bawegre Sarva Shiksha Abhiyan (SSA)s Old School Building, when militants made attempts to attack the camp. The sentry first noticed movement of the suspected militants and alerted the Security Force (SF) personnel. However, militants opened fire and Police retaliated and militants and Police exchange fire for about 20 minutes and later militants fled to nearby jungle. No casualty was reported in the incident. When contacted, East Garo Hills District Police chief D Marak said that more than 200 empty shells were recovered from the site. The attack was led by Sohan Shira, he added."
TRUE,"The Songsak Police on January 12 arrested two GNLA cadres, who had come out of the jungle to take food for others in their jungle camp. Following the lead provided by them, a Police team reached the GNLA camp and an exchange of fire followed. Police source added that a GNLA cadre was hit on his leg during the encounter, while others managed to escape from the spot."
TRUE,Islamic State IS in the latest issue of its online magazine Dabiq claimed that the five of the nine Gulshan café attackers were suicide fighters reports The Daily Star on August 2 To describe the café attack Dabiq said On the 27th of Ramadan fiveinghimasi suicide soldiers of the Caliphate carried out an attack on the Artisan Restaurant which is frequented by Crusader foreigners of varying nationalities in the city of Dhaka The mujahidin held a number of hostages as they engaged in a gun battle with apostate Bengali police and succeeded in killing and injuring dozens of disbelievers before attaining shahadah 
TRUE,"A Commando Battalion for Resolute Action (CoBRA) trooper was injured during an encounter with Communist Party of India Maoist (CPI Maoist) in a dense forest of Sukma District on September 16, reports The Times of India. The skirmish took place in Karigundam forests under Chintagufa Police Station limits while a team of CoBRA 206th battalion was returning after carrying out an area domination operation in the region, Superintendent of Police (SP) of Sukma, Indira Kalyan Elesela said. Security Forces (SFs) had launched the operation from its Timilwada camp to the interiors of Chintagufa. The trooper, identified as head constable Uday Narayan, sustained bullet injury on his stomach, the SP said."
TRUE,Communist Party of India Maoist CPI Maoist carried out two near simultaneous attacks injuring four Border Security Force BSF troopers a civilian and one District Reserve Guard in the Mahadev Ghat area of Bijapur District on November 14 reports Odisha TV CPI Maoist carried out the Improvised Explosive Device IED blast aimed at a vehicle carrying the BSF troopers returning from poll duty leaving the six injured
TRUE,12 Lashkar i Islam LI militants killed in air strikes in the Rajgal valley area of Khyber Agency in Federally Administered Tribal Areas FATA on December 4 reports The News According to security sources Pakistan Air Force jets precisely targeted militant hideouts in Rajgal valley in which 12 militants were killed and several hideouts were destroyed
TRUE,"Two traffic Police personnel, Bashir Ahmed and Naseer Ahmed, were shot dead by unidentified assailants while they are were on duty at Atmanzi Bazaar in Charssada District of Khyber Pakhtunkhwa (KP) on November 20, reports Dawn. Charsaddas District Police Officer (DPO) Shafiullah Khan told reporters that it was a case of targeted killing. He said all personnel of Charsadda Police had been provided with bullet proof jackets, but the victims had been shot in the head."
TRUE,"Four Bhutanese individuals, identified as Singy Wang Chuck, Padam Lal Rai, Taksha Subba and Sunil Subba were abducted from a Bhutanese village at Pathabari near Sarpang town in Sarpang District in Bhutan by a group of around 30 suspected militants armed with guns on August 8, reports The Sentinel. Later the abductors released one individual. The incident took place around 3 kilometres from the Indo Bhutan border Pillar No. 165 5 and Sashastra Seema Bal (SSB) Narayani outpost on the Indian side. According to sources, the Royal Bhutan Army (RBA), Assam Police, CRPF and SSB are conducting a search operation to rescue the victims on both sides of the international border."
TRUE,"Suspected Nationalist Socialist Council of Nagaland Isak Muivah (NSCN IM) militants, in an ambush on November 21, killed one army trooper at Impui Basti village near Asalu under Mahur Police Station in Dima Hasao District, reports Times of India. Further, six troopers were injured in the ambush. NSCN IM militants reportedly triggered IED blast targeting Army vehicles but the troops escaped unscathed from the blasts."
TRUE,"A Frontier Corps (FC) soldier was shot dead by unidentified assailants in Panjgur town (Panjgur District) on November 24, Dawn reports. A spokesman for the banned Baloch Liberation Front, Sarbaz Baloch, claimed responsibility for the attack."
